"player_id","sender_substrategy","sender_strategy_MLFIT_DFIT","MLFIT_classification","DFIT_classification","sender_strategy_SFIT","SFIT_classification","sender_strategy_TREND","TREND_classification","helping_rate"
1,"SREW","REW","REW","REW","REW","REW","REW","REW",0.4524
2,"ALTERNATE","UCL","UCL","UCL","UCL","UCL","UCL","UCL",0.5333
3,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","ALT",1
4,"REW3","REW","REW","REW","REW","UCL","REW","REW",0.2593
5,"POL","UCL","UCL","ALT","UCL","UCL","UCL","UCL",0.7059
6,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF",0.0833
7,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","ALT",0.9444
8,"POL","UCL","ALT","ALT","UCL","ALT","UCL","ALT",1
9,"SREW","REW","REW","MD","REW","REW","REW","REW",0.6667
10,"REW1","REW","REW","REW","REW","REW","REW","REW",0.6667
11,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF",0.0385
12,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","UCL",0.1346
13,"EXP33","UCL","DEF","DEF","UCL","UCL","UCL","REW",0.2041
14,"POI","UCL","ALT","ALT","UCL","ALT","UCL","ALT",0.95
15,"SophMD9","MD","MD","MD","CAU","REW","SOPH","SOPH",0.6724
16,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","ALT",0.9556
17,"ALTERNATE","UCL","UCL","UCL","UCL","CAU","UCL","CAU",0.5
18,"SREW","REW","REW","REW","REW","REW","REW","REW",0.6667
19,"SREW","REW","REW","REW","REW","REW","REW","REW",0.7455
20,"SREW","REW","REW","REW","REW","REW","REW","REW",0.7636
21,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","ALT",0.9231
22,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","UCL",0.8679
23,"MD10","MD","MD","CAU","CAU","UCL","SOPH","CAU",0.3636
24,"REW1","REW","ALT","ALT","REW","ALT","REW","ALT",1
25,"SCR","CR","CR","CR","REW","REW","SOPH","SOPH",0.8298
26,"SCAU","CAU","CAU","UCL","CAU","CAU","CAU","CAU",0.4884
27,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","ALT",0.9483
28,"POI","UCL","ALT","ALT","UCL","ALT","UCL","ALT",0.9524
29,"RAND","UCL","UCL","UCL","UCL","UCL","UCL","UCL",0.4737
30,"SREW","REW","REW","REW","REW","REW","REW","REW",0.6792
31,"SREW","REW","REW","REW","REW","REW","REW","REW",0.8095
32,"REW1","REW","ALT","ALT","REW","ALT","REW","ALT",0.94
