"player_id","sender_substrategy","sender_strategy_MLFIT_DFIT","MLFIT_classification","DFIT_classification","sender_strategy_SFIT","SFIT_classification","sender_strategy_TREND","TREND_classification","helping_rate"
1,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","UCL",0.8667
2,"REW3","REW","REW","REW","REW","DEF","REW","REW",0.1667
3,"REW3","REW","REW","REW","REW","UCL","REW","REW",0.2545
4,"SREW","REW","REW","MD","REW","REW","REW","REW",0.5484
5,"SREW","REW","REW","MD","REW","REW","REW","REW",0.4468
6,"REW2","REW","REW","REW","REW","REW","REW","REW",0.4286
7,"REW2","REW","REW","REW","REW","REW","REW","REW",0.5849
8,"REW1","REW","REW","REW","REW","REW","REW","REW",0.5741
9,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","UCL",0.1087
10,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","UCL",0.8974
11,"REW3","REW","MD","MD","REW","DEF","REW","SOPH",0.1964
12,"POH","UCL","UCL","UCL","UCL","UCL","UCL","UCL",0.5577
13,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","UCL",0.1042
14,"POH","UCL","DEF","DEF","UCL","DEF","UCL","UCL",0.1091
15,"DEF","DEF","REW","REW","DEF","DEF","DEF","DEF",0.0943
16,"REW3","REW","UCL","DEF","REW","DEF","REW","DEF",0.0588
17,"REW3","REW","DEF","DEF","REW","DEF","REW","DEF",0.098
18,"SREW","REW","MD","MD","REW","UCL","REW","REW",0.2143
19,"REW1","REW","REW","REW","REW","REW","REW","REW",0.8302
20,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","UCL",0.1364
21,"RAND","UCL","UCL","UCL","UCL","UCL","UCL","UCL",0.5577
22,"CR20","CR","CR","CR","REW","REW","SOPH","REW",0.5682
23,"REW1","REW","REW","REW","REW","REW","REW","REW",0.7667
24,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","UCL",0.8723
25,"POL","UCL","UCL","REW","UCL","UCL","UCL","UCL",0.3654
26,"EXP33","UCL","DEF","DEF","UCL","DEF","UCL","DEF",0.0755
27,"EXP33","UCL","DEF","DEF","UCL","DEF","UCL","UCL",0.1277
28,"SophMD2","MD","MD","MD","CAU","DEF","SOPH","SOPH",0.18
29,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF",0.1
30,"MD30","MD","DEF","DEF","CAU","DEF","SOPH","UCL",0.1042
31,"SCR","CR","CR","CR","REW","REW","SOPH","SOPH",0.5957
32,"CAU1","CAU","CR","CAU","CAU","CAU","CAU","CAU",0.6304
33,"POH","UCL","UCL","UCL","UCL","UCL","UCL","UCL",0.5682
34,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","UCL",0.1042
35,"RAND","UCL","UCL","UCL","UCL","UCL","UCL","UCL",0.5789
36,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF",0.0345
37,"POI","UCL","UCL","ALT","UCL","UCL","UCL","UCL",0.7069
38,"POH","UCL","ALT","ALT","UCL","ALT","UCL","UCL",0.85
39,"REW2","REW","REW","REW","REW","REW","REW","REW",0.6667
40,"SophCR1","CR","CR","CR","REW","REW","SOPH","SOPH",0.5862
41,"DEF","DEF","DEF","DEF","DEF","DEF","DEF","DEF",0.0465
42,"EX1","UCL","UCL","UCL","UCL","UCL","UCL","UCL",0.5714
43,"CR31","CR","CR","CR","REW","REW","SOPH","SOPH",0.7436
44,"ALT","ALT","REW","ALT","ALT","ALT","ALT","UCL",0.88
45,"REW2","REW","REW","REW","REW","REW","REW","REW",0.8298
46,"REW2","REW","REW","REW","REW","REW","REW","REW",0.7778
47,"EXP31","UCL","REW","REW","UCL","REW","UCL","UCL",0.8833
48,"CR21","CR","CR","CR","REW","REW","SOPH","SOPH",0.9
49,"EXP31","UCL","UCL","ALT","UCL","ALT","UCL","ALT",0.94
50,"POL","UCL","REW","ALT","UCL","ALT","UCL","ALT",0.9074
51,"POI","UCL","ALT","ALT","UCL","ALT","UCL","ALT",0.9375
52,"ALT","ALT","ALT","ALT","ALT","ALT","ALT","ALT",0.9583
53,"SREW","REW","REW","REW","REW","REW","REW","REW",0.7755
